Unnamed: 0,Review,Rating
12,Fraud company On new year they cancelled my booking for getting higher price of 5000 rs And neither got a refund In extreme cold weather of -10 degree my family was thrown out of the hotel in the night after 5 hours of argument,1
13,I booked fun week to Himachal through make my trip. Upon reaching Amritsar I realised that the room was substandard and dirty. Linens were used. Towels were damp. There was no ventilation. Same experience at Dharamshala. I had to actually argue for better room. Make my trip support number also is a scam. They spoke to me once,1
14,"The bus is not arriving at its scheduled time. The passanger have many problems. Bus stops many times on way. Local traveller fill in bus, so not reached at a schedule time on station. Please solve this problem",1
15,"I booked a vehicle from Vellore to Chennai through make my trip . Scheduled time I chose was 5 pm suddenly on the journey morning came to know that I will be free by 11 am so I called their customer care . Representative Kunal picked up a phone and then conveyed that sir at the earliest we will be getting driver details by 3, pm so will communicate you. I said ok than I called them again at 2.30 pm this time executive named as Garima picked the phone and said that be onhold I waited till 25 min no response , I again called up after 5 min this time Kunal picked the phone and said sorry sir but vehicle will come by 5 pm only . I was shocked as bu this time in anticipation of hotel have already checked out from the hotel along with my kid",1
16,I am elite international traveller Star alliance and Mariott member. I have NEVER experience worst travel experience through worst agency in world. This is Huge FRAUD and NO response.,1
17,Nice bus and service Journey are so good,5
18,"They are the worst organisation ever, no response on app and as well as customer support teams. All they do is dodge your calls by saying we will get back to you l, no matter how many times you explain your scenario to them. All they do is fraud. They don't provide any update regarding the trip status, tickets confirmation or ticket cancellation, rescheduling. Also they say they will not refund any amount. Every team of their is fraud post trip, pre trip everyone, most of the time they are unavailable, even there 24/7 helpline is not answerable. Will not recommend to anyone. They will dupe you.",3
19,I’ve been trying from the past two hours to get in touch with the customer services in india. Either the calls are being automatically disconnected/the otp is not being sent or my booking id is not being recognised by the automated messages. I’ve tried at least 20 times on different numbers but none of the numbers are helpful. It’s extremely stressful and exhausting to not be able to make any changes to your bookings. And no clear or direct number to get any assistance. Horrible experience. Will never use the site.,1
20,Very unprofessional and unthinkable situation when one denied accomodation booked in advance with premium price.,1
21,Missing transparency in sharing invoice brake up. This is due to the fact that mmt charged almost double for the services offered. In addition to this services/vendors were not as committed. Will not suggest any one to go for mmt,1
22,"I dont even know where to start. It has been a horrible experience for me. Given the Indian Law practices, it has been a boon to fake companies like makemytrip. They cheat u on ur face. I booked a cab from Hyd to Vijayawada. They have delayed it by 2.5 hrs and they sent me a car thats close to breaking down and the driver is a Goonda. I have never seen such unprofessional conduct from anybody in my entire life. The car is worth a mere pile of horse dung. Pardon my french, but screw makemytrip. The customer service…. Ok thats a joke and I wont even talk abt it. In short, the entire experience with makemytrip is d most painful. I felt cheated. I am going to book a case and file a law suit as I missed my US flight because of these worthless pieces of unprofessional, unethical crap! I wish thr was -5 star rating the first time. I will sue these holes with everything I have. This shouldnt happen to anybody.",1
23,Don't use this app personally I faced very bad experience in make my trip. You can try some other with good rating i didn't see the reviews for this app if I see na definitely I won't go.,1
24,"Very bad experience, not at all satisfied, they make false promises, which they do not fulfill. Will not recommend it to anyone.",1
25,"Our recent trip to Dubai, booked through MakeMyTrip, turned out to be an absolute nightmare. From the get-go, the communication was a mess. Ms. Shwetha K M initially lured us in with promises of discounts, but the payment process was a chaotic ordeal. The package cost fluctuated like a volatile stock market, leaving us perplexed and frustrated. The lack of transparency continued as the trip approached. Nisha Kakkar's sudden demand for additional payments at the last minute was appalling. Refusal to pay led to radio silence from the team, leaving us stranded with unanswered emails. On the day of our journey, we were handed off to an unknown agency without any prior notice or explanation. Forced to cooperate out of sheer necessity, we faced unexpected charges at the hotel, attributed to the incompetence of MakeMyTrip's arrangements. But the final straw was the absence of the promised transportation on the last day. The local agency, conveniently passing the buck to MakeMyTrip, left us scrambling for a solution. The drop-off service, clearly included in our package, was nowhere to be found. MakeMyTrip's unprofessionalism and inability to manage even the basics have shattered our trust. We strongly advise steering clear of their services for international travel. It's a shame that such a reputed platform failed miserably in ensuring a smooth and hassle-free experience. Our advice? Seek travel agencies that have a direct and reliable presence in foreign countries. MakeMyTrip is not worth the headache and disappointment. This experience has underscored the need for better accountability and professionalism in the travel industry.",1
26,"We booked an all inclusive package from mmt seller and paid the full amount but the seller never told us that the package does not include gala dinner charges at the resort and when I asked her about the same she shared with me the snip of the package pdf whereit was mentioned about this. I reopened the pdf and found it was written at the last page in very small font almost ignorable. I booked the package by trusting the seller but was offered no help from her, I also raised the same MMT customer care but they also did not help. In name of these packages they are defrauding their customers. I had to pay about 55k at the resort after booking the package for about 2.25 lakhs, which they told were mandatory otherwise they would not give us our already booked room. Disappointed by MMT, would advise others not to fall in their traps if they love thier hard earned money.",1
27,"The worst customer support, they not refund payment even hotel initiated refund.i request do not use this app.",1
28,The App doesn't have a customer care service. Flight was delayed but no information was provided on the app. I had to search for the customer care number on Google and call the executive requesting to send revised itinerary. Boarding hasn't yet started and the status on the app shows trip completed. And no option to reach out to MakeMyTrip team on the app.,2
29,"Want to highlight poor and deficient customer service by #makemytrip for our recent trip to Srilanka. Package booked included rides in the itinerary at Bentota. But to my dismay at Batota we were told no rides are available. This despite us paying them full amount in advance. Moreover, excess payment was demanded by #makemytrip even after paying the the full amount as intimated by them. Our complaints to them have been abruptly closed without any refund or reason.",1
30,"I emphasize with people who have suffered at the hands of MMT and I am too a Victim. After booking return train tickets and paying extra for “Zero Cancellation” MMT Still charged additional 150/- as Cancellation charges (paid Rs. 572 just for cancellation wherein IRCTC charges Rs. 65 for the same). Both refunds have still not been received and MMT Junior Executive keep asking for your bank statement for 11 days every day, and then pretend that our 20–25 mail sent has not being received by them. DO NOT EVER USE MMT AT ALL AND ESPECIALLY FOR TRAIN TICKET BOOKINGS. YOU WILL END  UP LOSING ALL YOUR MONEY.",1
31,Never book your trip wih makemytrip they are fraud and cheaters tookmoney saying valley room and gave view of slum when i called to complaint those people stopped answering my calls,1
32,"If your family pressurize you to travel to go abroad for studies, nd your not willing to go.., book your tickets through MMT, because they never confirm it, my family is forcing me to travel to native place now....thanks again MMT ....",3
33,I purchased 1 Emirates Airline tickets from MakeMyTrip and 2 from Directly Emirates website. Due to a reason my flight got missed and I asked for refund from Emirates as well as from MakeMyTrip a fraudster company and Its been more than 2 months they didn't issue the refund neither they contacted airline for refund and whenever I called them they create new ticket and say our experts are working on your refund. When I contact Emirates they said sorry we didn't receive any request regarding this ticket and nobody contacted us for refund but these idiots are fraudsters giving my excuses that the delay is from airline end. I am attaching the evidence where timeline is clearly mentioned and till now I didn't received from refund yet. Avoid from MakeMyTrip Fraud Company and never use these fraudsters if you dont want to be scammed.,1
34,"No value for money. Low quality service, promise rosy picture. Deliver substandard quality product/ experience. Ex Hotel room,  reviews are pathetic and customer care don't help to c",1
35,I booked a cab for my husband from Agra to Delhi airport to catch flight from Delhi to London on 28th Nov. Booking ID. NC7494110738123547.Driver did not came to pick up and the make my trip asked me to do alternate arrangement. Also that person told my husband that he will short out the refund. Even I paid 4times extra to get another taxi. I was waiting for refund but now they are refused to refund. Please Dont trust this co. Otherwise you will loose money. Urmila.,1
36,I had booked a holiday package from makemytrip on the last day they said that I have to cancel 1 day from itinerary because they have incorrectly booked my return flight. They refused to give any refund of the cancellation and not talking any responsibility to the mistake. They asked me to give more money to correct the flight and other hotel booking. THE AGENTS WERE ALSO VERY RUDE AND NOT HELPFULL AL ALL. I suggest please do not book anything from this site.,1
37,"I took a cab service and driver charged me extra amount. When I contacted MMT customer care service they did not turn up, I contacted many times wrote so many emails but no response I think MMT is tied up with cab drivers and they share the extra amount which will be taken from us. This is a official way of begging. I hate MMT",1
38,"This is a fraud company, no authenticity. I confirmed my hotel booking for 13th December on 5th December and same was confirmed by make my trip. But on 13th December when I reached the hotel, then hotel Owner denied to provide me room and said that all rooms are already booked. I personally recommend to all Indians to avoid this make my trip. They are fraud and they no authenticity. Hotel Confirmation receipt is also attached herewith you all can check that how make my trip have cheated me even my hotel  room was already booked and confirmed. Say no and boycott make my trip.",1
39,"MMT is totally fraud and not value for money. No support from any department after making payment. We have taken tour plan of Kerala, MMT gave worst plan and around 35% extra costing. Not sharing any invoices. Strongly recommended - please dont believe on MMT. Wish to give ZERO STAR, but no option hence giving one star",1
40,I booked my flight ticket from Chennai to CBE on 24th December.due to health reason when I cancelled it on 11th the original fare all including 5300 around was brought down to 430 as refund and this calculation and policy was not shown .I wish I had done it in airlines itself.MMT is popularizing itself for cheating.goodbye MMT,4
41,This app is very good. It give as gurantee Trip and pay there charges for comferm Railway ticket. If ticket will be waiting list After chart prepaid  it will pay you in 3x  refund money,4
42,"Am requesting everyone please don’t book the cab in this app .., they will take only booking and money they won’t arrange cab anywhere.., if you call to customer care they simply apologise you instead of arranging cab …, please don’t book in special night time they don’t have better collaboration with cab",1
43,I have cancelled my flight before 24 hours under zero cancellation policy on make my trip platform on 6th Nov'23. Still they haven't refund my money back. The customer care is giving timeframes and timeframes. Don't book tickets from make my trip.,1
44,"This website shows fake , , , , Don't believe anyone... I booked kukkeshree bus. worst bus, , , zero star..",1
45,"They deduct money from your card and do not issue flight ticket. When you ask for your money in return they will give you some timeframe after timeframe but dont return the money. They have the worst customer service team, they don't know how to resolve your issue",1
46,I have very bad experience with make my trip. I had train reservation in trip guarantee from nagpur to Mumbai and ticket booking date was 3 months before departure date . They charged extras amount for guarantee trip but finally trip was not confirmed. So you can't rely on their services.in trip guarantee they have policy that 3 times amount you will get in form of wallet. But I never got. I booked ticket on 20th August 2023 and departure date was on 22nd November 2023. Till today I didn't got amount refund. I will take legal action against make my trip. If negative rating option will be der then I will give it. Their customer never get you back or reply,1
47,"One of worst travelling experience with MMT, got confirmed booking of my room , but when reached hotel , it was not Available. How is this possible ? This is sheer harassment of customer and worst service by you. Will ensure no future bookings with you. Please improve your services and ensure transparency in deals.",1
48,"Please don't trave in make My Trip My kerala trip very bed expirance I call My tour manager Mr Kuldeep & Mrs Dipti but no response for any matter A little problem of to take permit to go to enter the states of Tamil Nadu ,  the driver  has made our time waste of 3 hour , he misbehaving and answer in a very bad tone . After all we call our tour manager Mr Kuldeep and Mrs dipti but they didn't response and no any reply and solutions. When we call Mr kuldeep he ans very badly and said "" Do as driver called ""and write your problem in the email , So its my last trip in MMT , We are in  different  state and we didnt understand their malyalam language , so what can we do. Total tour no any tour manager there's  no call for me before and after our tour starts So please don't go make My Trip wast of money",3
49,"Few days back, I had contacted Ms. Sapna Dhake of Make My Trip in Pune for getting a quote for Vietnam tour program. I followed up with her 2, 3 times. There is absolutely zero response from her almost after a week. After waiting for few days, I have booked through another tours and travels with much more better experience. In this way, MMT has lost a probable customer. I caution others to think before booking with MMT.",1
50,"Make My trip review Recently I booked the above package with MMT for myself and a friend with our spouses. We customised the standard package with 2 Nights in Jaisalmer, 2 Nights in Jodhpur and 3 Nights in UDAIPUR we had requested for 3 star Plus  hotels and were assured of the same. We booked a private car for the full tour. The following was my experience Flights: Probably the only saving grace of the package. The flights were good Hotels: 1 night in TRIPLI STAY INN DESERT CAMP. JAISALMER The experience was good 1 night in SKY PLAZA   Jaisalmer. Though this was not a 3-star hotel the only good hotel we experienced in the whole trip 2 nights in PARKK BOUTIQUE Hotel JODHPUR. It might have been a good hotel in last decade. Now it is very rundown and cockroaches infested. It is nowhere near  3Star. Service was atrocious and Breakfast was at best mediocre both days. Entrance staircase was so high I doubt if it is friendly to old people. They were too stingy in supplying Drinking water as they provided only 2 500ml water bottles or 2 people.  There were no Tissues provided 3 nights in Hotel GORBANDH UDAIPUR. This again was touted as a 3 star hotel by MMT which is nowhere near the truth. This cannot be even classified as good A Grade Hotel. The rooms we were given were Stinking as soon as we entered the rooms. The flush in our room was not working and when we complained initially they tried to repair it superficially only when we complained again and demanded to change the room did they repair it properly. Still the water was leaking continuously making sound all night.  They did nothing about the stink. The shower head was leaking so much that half the water was spraying upwards instead of thru the shower head. The mixer needed change may be for the past 2-3 years but no one seems to be bothered. The second day they did not even clean the room. When complained   I was told I did not ask for it. In my 45 years of International and Domestic travels no hotel ever told me that I have to ask for cleaning. It was automatic. CAR: we booked a car for the entire trip. The car was clean and Good. The Diver was good initially. Only problem with him was that he will take us to only those places where he will get commission or a free meal. Usually these places are very expensive Tourist Traps. When we didn’t take the services at these places The Driver would get Very disappointed and surly and uncooperative for a long time afterwards.  He would tend to drive a minimum he could get away with. Always trying to run away at 3-4 Pm. He would never give us any information unless asked for. Example at several temples and monuments where photography is restricted he could have told us before hand to leave the cameras and mobiles in the car. Instead we would only find that when we reach the place and were told by the security. Interaction with MMT When MMT finalised the Package, they have not Given us any Detailed itinerary. They have only given us Air travel Tickets and Hotel Booking Details. For local sight seeing they just put Day at leisure. Which means we were at the mercy of the Driver. On day two He told us He is leaving us at 3 PM in JAISALMER. When we insisted that he should take us to The lake and puppet show He became angry and sullen.  On day 3 when we reached Jodhpur at 3 PM he just Dropped us at the hotel and went away. We could have visited the garden and one more place that evening. When asked MMT service Desk about this they took the complaint and told me they will call back in 30 min which they never did. Next Day morning when I called again a new agent checked and told me that Sightseeing is not included in our Package. (As if we were Idiots to go all the way to Rajasthan to sit in the Hotel). They Never clarified about the sightseeing and The driver? Car Scope. On Day 5 when we reached Hotel GORBANDH and found it to be not suitable I contacted Mr. Santosh Kamble Local Tour Manager in Udaipur, and requested to see if the Hotel can be changed  He told us he will get back to me. Next Day afternoon when I received a call from someone claiming to be from MMT, To my surprise He informed  that they are (MMT) not handling our Hotel bookings but are sub contracted to local vendors. With all the above experiences and adversities  I fail to Understand why MMT is charging us so much money and subcontracting everything. Their claims of 3 star Hotel seems to be their own star rating.",1
51,I had opted for a train booking with trip guarantee. When i booked the ticket I got intimation on WhatsApp email sms. But when the ticket was not confirmed..there was no intimation of trip guarantee voucher on WhatsApp or email. They quietly sent it on sms. However when i tried to use the voucher it did not work....so i called customer care....just on hold..... shameless MMT reimburse my premium amount..you cheats.. forget about booking ticket again...i will make sure all the people i know also kick you cheaters out of their phone,1
52,The booking system is flawed..the customer service agents are rude and yell back at customers.. they keep you on continuous hold and don't refund any charges,1
53,"I have taken help of MakeMytrip to book my cab for few times. I have never felt any problem till cab service was from Punjab based service provider. Journey was always peacefull. But nowadays Make my trip has changed service provider may be for more profit.Now problem is they will call you and ask to cancel tour. Sometimes Driver will be in hurry and rash driving will be there even if you are traveling with a patient, he will not listen to you. Sometimes Driver will ask for additional amount ranges from Rs 150 to 400 for toll or additional km. If you deny then they will threat you on phone. Very unfortunate..I have complaint few times to Make My trip but no result. Better avoid makemy trip in dehradun Delhi route.",1
54,Pls don't take there service - the cab we booked never came and in app it is written as the trip is completed and it was as paid trip too lost so much money,1
55,"Pls people don't take any of their services, they r cheating with customers. They didn't refund my cancellation money after raising so many complaints n worst part is u cant reach to their customer care executive by any which way.Its a big fraud company. Would suggest mmt that dont pay huge amount to those actors n actress by looting general ppl money n doing fraud.",1
56,"PNR 6856452352 cancelled being Waitlist after chart preparation, I purchased trip guarantee ticket, not confirmed. I used 2xrefund voucher code supplied to me in email, to purchase the ticket again in train but it doesn't allow asking alternative mode like flight. Flight ticket is not affordable for me, This is how I got cheated.",1
57,Display unrealistic price pay to lock in price go through all the info click to book then you get message ... The airline system are currently experiencing a technical problem . Please try in a short while.. image all the lock in fees that are getting without a satisfactory result for the customer .. dont trust this company with a barge pole use Skyscanner or other reputable sites,1
58,Very bad experience with this services. My booking was cancelled at last time after 10 hour and told me we have not avalaible cab. I have not received return my payment till now. Don't use this cab please.,1
59,I have never experience worst service like make my trip. They do not care for their customers at all,1
60,"""I am deeply disappointed with my experience with MMT. The staff's response was extremely poor, leading to a significant miscommunication about the check-in time. Despite the allotted time passing, my refund remains elusive. This level of service is unacceptable. Please refrain from booking on MMT. Worst experience",1
61,Terrible experience with MMT.their employee Reena Dandona is a big fraud person.she commits something & do booking on something else.put all the blame on customer.MMT is a hopeless and zero ethics company. Totally fraud practices she works on .,1
62,"I recently booked a trip to Sri Lanka and the Maldives through MakeMyTrip and unfortunately encountered a series of disappointments that significantly impacted my travel experience. Flight Experience with Sri Lankan Airlines: The journey started on the wrong foot with a poor experience aboard Sri Lankan Airlines. The flight from New Delhi to Sri Lanka was below par in terms of service and comfort. It set a discouraging tone for what was meant to be a memorable trip. Poorly Crafted Itinerary: The itinerary provided by MakeMyTrip left much to be desired. In particular, the allocated time at Neura Ella & Benton was grossly insufficient. As a traveler eager to explore these destinations, I found the rushed schedule disheartening. Transportation Nightmare: A major setback was the car provided in Sri Lanka, which not only was in poor condition but also broke down during our journey. Waiting on the roadside for a replacement car for four hours was an unforeseen and frustrating ordeal, greatly disrupting our plans. Mismanaged Flights to the Maldives: The flight arrangement to the Maldives was ill-planned, resulting in us reaching the resort at 8 PM, cutting short our time in what was supposed to be an amazing yet expensive retreat. Additionally, the early check-out on the last day further reduced our time at the resort, diminishing the value we expected. Poor Resolution Despite Efforts: Despite multiple attempts to address these issues with MakeMyTrip, the resolution offered was poor and unsatisfactory. It was disheartening to see the lack of adequate response or compensation after significant persuasion. My aim in sharing this detailed experience is not only to express my disappointment but also to caution future travelers. MakeMyTrip's services fell short in multiple aspects, impacting the quality and enjoyment of what was meant to be a dream vacation. I urge MakeMyTrip to seriously reconsider their approach to trip planning and customer service to prevent similar experiences for other travelers in the future.",1
63,"After ""checked in"" apartment 2BHK for two family at 12:30PM(check in time -12:00pm), cleaning was not completed (half hour taken to clean and then we informed their person about fan and washing machine not working. But  didn't get ok in 48 hours, we troubled and slept in hall by laying bed over floor both night. Finally 1 room unusable due to fan, Totally irresponsible. Thank you Kavishankar kumar",1
64,Everytime I call they tell they’ll arrange a call back. But none came and when you ask the same. They disconnect the call. If they can’t help with travel why give commitment?,1
65,Customer services showed Absolutely no ownership of booking cancellation. Had booked an out station cab and it was cancelled last minute. No support to find another cab. Treated a customer with no respect and no effort to find another cab. Finally I had to find a cab on my own at double the cost and Was delayed to start my trip for 2.5 years. Did not even provide deserved compensation. They only penalise the vendor and make my trip bear no ownership or responsibility to beat any losses. Their vendor personally called me to say that they were penalised by makemytrip. Absolutely disappointed… never rely on makemytrip.,1
66,"My booking with Hilton Resort goa via MakeMyTrip turned out to be the worst booking I ever made , as the room booked was of a higher price but the booking voucher received from MMT after the payment confirmation did match the room category details that was selected before the payment. After multiple follow up with the customer care, I was blocked to get in touch with any of the superior and ultimately I was not given the room for which I paid, instead I was told by customer care that I should have taken the screenshot of the room selected before the payment was done.So guys , indirectly MMT is  telling us that they will fraud with you so better keep the evidence ready, either make a screen video of the selected room in order to get what you have paid for. Else you will be conned like me with extra money being charged for a high end room but instead  end up with a cheaper room.Do not get your holiday ruined because of the Fraudsters like MakeMyTrip",1
67,"If I could leave 0 stars I would. This is by far the worst company I have ever booked with. They have changed our flight details 3 times two of those times they didn't even notify us and then last time it was changed the day before we flew. When I tried to get answered I was passed around and never ended up getting any. No one in the company takes any responsibility for anything and basically refuse to give out information other than ""please contact the airline"". Awful.",1
68,One of the 3rd class customer service. My train booking failed and payment deducted but still yet refund not credited on my account after 17days. Customer service unable and also email with transaction ID but not replied...,1
69,"Booked a room at Taj Samudra through make my trip.  When reached hotel, hotel staff denied booking and had to pay again for a room.  MMT not ready to refund the amount even after sharing multiple times payment proof of payment made directly at hotel. Sharing my experience so that others can be careful and avoid trouble and losing money.",3
70,Recently booked banglore - Manchester with Lufthansa from make my trip on 9th Nov 2023. But they denied to fly with Lufthansa because we dont have europe visa But we have British visa Residence. My question is if we are travelling from india to uk in between we dont have any other country visa.  Why thay are allowing us to book the ticket and we are not going out from airport so we don't need any schengan visa Right By knowing this airlines & make my trip is playing game and stealing the money from customers. And they not refunding money back too.. this is totally fraud pls dont never ever book flights from make my trip and they easily saying that not responsible. Pls don’t loose money by this website its completely scam. This is happen for lot of customers .. Thanks,1
71,"Subject: Urgent Attention Required: Disrupted Travel Plans with Make My Trip Dear Make My Trip Team, My booking ID: NL2122404135006 SpiceJet PNR: G9N57C We recently booked a 3-night trip to Goa through your service and encountered a significant issue. Our return flight, originally scheduled for the 12th, was unexpectedly rescheduled to the following day, as communicated by Spice Jet this morning (10th Nov). Given the urgency of our situation and the importance of being home by the 12th, especially during Diwali, we are disheartened by the lack of communication regarding this change from our travel partner. It is concerning that such a fundamental alteration to our plans was not proactively conveyed, leaving us in a difficult position. We kindly request your immediate attention to this matter, seeking a prompt resolution to ensure our timely return. It is our expectation that your team can swiftly arrange an alternative solution and communicate the same to us at your earliest convenience. Thank you. Ramkumar V 7358294535",1
72,"I'm extremely displeased with my experience with MMT. I had reserved a cab from Delhi to my hometown for an early morning ride on the 10th of November at 6 am. To my dismay, up until 5:30 am on the 10th, there was no driver assigned, accompanied by a vague message claiming they were ""in the process of allocating your driver details."" Suspicious, I contacted customer care, and by 5:55 am, they casually informed me, ""Sorry, we cannot find a driver and are canceling your booking."" There was no prior notification, no apology—just an abrupt cancellation. This has been my worst encounter with MMT, and I won't be using their services again. To others: be cautious and don't rely on MMT, even if your bookings show as ""confirmed.""",1
73,We bpoked south vacay with Ms DURGA When we reach mysore hotel they do not have any confirmation make us wait for 1hr with baby and luggage till the time we contacted make my trip customer care as Durga our representative was not picking up call afterwards they are appologies and provide us different room than itinary. Hotel le Ruchi mysore worst reception staff with make my trips unprofessional behaviour.,1
74,"Hi, I had booked a cab through MMT from my residence in Thane to Mumbai airport.  While booking the cab I had selected Swift Dezire as the preferred vehicle. However on 7th morning when the cab finally arrived I was shocked to see that the actual vehicle was a worn down Wagon R. Raised the issue with MMT and received complaint ID:- 18307401880051456. Was promised a reply within 12 hours, however even after 2 days still waiting for the reply to my complaint. Best of luck everyone. Please make absolutely certain of the cab details before proceeding. Hope MMT will improve Yatish Chhabra",1
75,MakeMyTrip is third class and  is Costlier than any travel booking platform. Absolute cheats coupled with third rated customer care department. Avoid booking through Make myTrip . Very unethical.  Costler by more than 25% compared to any  other travel booking site. No transparency and are looting people,1
76,Very bad service  never book anything from make my trip they are never give refunds and they don’t know even how to make clear the passenger,1
77,"I had booked 1 flight to Thailand and that gone cancelled , booked in May and now it’s November still waiting for the refund but no answer from them Another experience I booked hotel in Agra on 1 st October and paid on app after going to the hotel I found that no room is free there , after calling to make my trip customer care they simply says mafi chahunga Now it’s November 5 th still they have not paid the full amount I think this company is in bad financial phase SO AVOID BOOKING FROM THEM AND BOOK DIRECTLY FROM HOTEL AND FLIGHT COMPANIES",1
78,Worst Relationship officer Mr. pankaj Kumar. Never ever responded on time.. Not at all cooperative & supportive. No Basic and Technical knowledge to answer. Driver is very rude and always eating gutkha during ride. H also demand money after completion of trip,1
79,Very bad experience with make my trip customer care. I request to all please don't use make my trip .,1
80,I made booking for a room in fab hotel pearl city in Hyderabad after due payment to MakeMyTrip. But at the hotel reception they didn’t provide me  room because they didn’t receive any booking details from MakeMyTrip. I called several times customer care of MakeMyTrip but every time they told will resolve the issue in 40 to 45 minutes and for more the one and half hours the problem was not solved. I don’t recommend MakeMyTrip for any sort of bookings because they are irresponsible but taking payments in advance. It is a sort of cheating by MakeMyTrip.,1
81,Have booked many flights and hotels never faced any issue More negative reviews they have because no one has time to give positive response,5
82,"I had booked a hotel stay in Dubai with Hotel Studio M Arabian Plaza on 24.08.2023 for my stay from 22.10.2023 to 31.10.2023. When I landed in Dubai hotel for check in the night  at 11 pm , I was informed by the Hotel that the booking was cancelled by the hotel on 27.09.2023 and MMT was already informed via email of the same on the said date. MMT was not aware of it till my date of travel and did not bother to inform me of the same. On the day of travel MMT mailed me an invoice copy for my hotel booking. Such is the level of carelessness on the part of MMT that the booking was cancelled by the hotel almost 25 days prior to my travel they were not aware of the same and failed to inform me of the same. I being a female solo traveller was stranded in the middle of night and was left to myself to search and fetch an accomodation. When I got in touch with MMT they were very only apologetic  for the cancellation and initiated a refund which would be receivable by me nearly after 20 days. Due to the carelessness of MMT  I had to go through the harassment  in the middle of the night and the inconvenience and mental torture. So unprofessional service on the part of MMT. I would never book any hotels henceforth nor recommend any body of the same through MMT.",1
